source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
027-advanced-life-support-fig-04	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JTW.jpg
027-advanced-life-support-fig-05	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-05.jpg	image/jpeg			source_asset_href=image_rsrc1JTX.jpg
027-advanced-life-support-fig-06	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-06.jpg	image/jpeg			source_asset_href=image_rsrc1JTY.jpg
027-advanced-life-support-fig-07	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-07.jpg	image/jpeg			source_asset_href=image_rsrc1JTZ.jpg
027-advanced-life-support-fig-08	027-advanced-life-support	cA6G.xhtml	source/figures-raw/027-advanced-life-support-fig-08.jpg	image/jpeg			source_asset_href=image_rsrc1JU0.jpg
028-basic-life-support-in-adults-fig-01	028-basic-life-support-in-adults	cB4X.xhtml	source/figures-raw/028-basic-life-support-in-adults-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JU1.jpg
029-basic-life-support-in-children-fig-01	029-basic-life-support-in-children	cB9B.xhtml	source/figures-raw/029-basic-life-support-in-children-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JU2.jpg
029-basic-life-support-in-children-fig-02	029-basic-life-support-in-children	cB9B.xhtml	source/figures-raw/029-basic-life-support-in-children-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JU3.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-01	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-01.jpg	image/jpeg			source_asset_href=image_rsrc1JU4.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-02	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-02.jpg	image/jpeg			source_asset_href=image_rsrc1JU5.jpg
